Citation,Country,URL,Site,Number of men,Number of women,Total farmers,GPS_N,GPS_E,GPS find method2,Row,Number,System,Adjusted system
"Abate, D., Tassew, B., Zeleke, A., Kedu, A. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Waltai Elabdu, Agarfa District, Bale Highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51608,"Waltai Elabdu, Agarfa District, Bale Highlands",15,5,20,7.2139,39.9244,From Aberra,108,64,  MRT,  MRT
"Abate, D., Tassew, B., Zeleke, A., Kedu, A. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in ChefeMana, Goro District, Bale Highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51629,"ChefeMana, Goro District, Bale Highlands",12,8,20,7.016,40.392,From Aberra,109,65,  MRT,  MRT
"Abate, D., Tassew, B., Zeleke, A., Kedu, A. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Dayu Abergada, Goro District, Bale Highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51616,"Dayu Abergada, Goro District, Bale Highlands",14,6,20,7.0163,40.3549,From Aberra,110,66,  MRT,  MRT
"Hagos, T., Tesfay, T., Wayu, S., Atsbha, T., Yikaalo, T., Zeberh, T., Teshale, T., Ebrahim, M. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in EnbaHasti, EndaMehoni District, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51617,"EnbaHasti, EndaMehoni District",11,9,20,12.83333,39.55,From Aberra,111,67,  MRT,  MRT
"Abate, D., Tassew, B., Zeleke, A., Kedu, A. and Wamatu, J. 2014. Characterization of the farming and livestock production systems and the potential to enhance livestock productivity through improved feeding in Illani, Agarfa District, Bale Highlands, Ethiopia. Nairobi, Kenya: International Livestock Research Institute.",Ethiopia,https://cgspace.cgiar.org/handle/10568/51611,"Illani, Agarfa District, Bale Highlands",17,4,21,7.26381,39.86081,in report,112,68,  MRT,  MRT
"York, L. 2010. Characterisation of the livestock production system and the potential of feed-based interventions in the municipality of Ratnanagar and Gitanagar in the Chitwan district of southern Nepal, September 2010. Nairobi, Kenya: ILRI.",Nepal,https://cgspace.cgiar.org/handle/10568/16532,Ratnanagar in the Chitwan district,13,5,18,27.59787,84.50526,in report,113,69,  URB,MRH
"York, L. 2010. Characterisation of the livestock production system and the potential of feed-based interventions in the municipality of Ratnanagar and Gitanagar in the Chitwan district of southern Nepal, September 2010. Nairobi, Kenya: ILRI.",Nepal,https://cgspace.cgiar.org/handle/10568/16532,Gitanagar in the Chitwan district,26,4,30,27.62196,84.4083,in report,114,69,  MIH,  MIH
"York, L. 2010. Characterisation of the livestock production system and the potential of feed-based interventions for improving livestock productivity in Monomothpur and Khairpara village, in the Dinajpur district of northern Bangladesh, September 2010. Nairobi, Kenya: ILRI.",Bangladesh,https://cgspace.cgiar.org/handle/10568/16528,"Khairpara village, in the Dinajpur district",8,18,26,25.65601,88.86491,in report,115,70,  MIH,  MIH
"York, L. 2010. Characterisation of the livestock production system and the potential of feed-based interventions for improving livestock productivity in Monomothpur and Khairpara village, in the Dinajpur district of northern Bangladesh, September 2010. Nairobi, Kenya: ILRI.",Bangladesh,https://cgspace.cgiar.org/handle/10568/16528,"Monomothpur village, in the Dinajpur district",4,20,24,25.65601,88.86491,in report,116,70,  MIH,  MIH
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Kisumu West sub-county  - Western Kenya - Kisumu Central ward ,14,6,20,0.0516,34.6992,Eyeballed from google maps search on Central Kisumu,117,71,  MRH,  MRH
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Matayos sub-county - Western Kenya - Lwang’a,10,15,25,0.3625,34.1685,Eyeballed from google maps search on Matayos,118,71,  MRH,  MRH
"Muyekho F.N., Lukuyu, B. and Duncan, A.J. 2014. Characterization of the livestock production systems and potential to enhance dairy productivity through improved feeding in sub-humid western Kenya. Nairobi: ILRI.",Kenya,https://cgspace.cgiar.org/handle/10568/64946,Sabatia sub-county - Western Kenya - Chavakali,15,12,27,0.1168,34.7321,Eyeballed from google maps search on chavakali,119,71,  MRT,  MRT
